set_type,instance_name,instance_file,note_trials,repeat_id,seed,best_cost,opt_cost,error_percent,time_ms
TSP,berlin52,data/tsp/berlin52.tsp,2000000,2,200012347,21766,7542,188.597,10046.7
TSP,berlin52,data/tsp/berlin52.tsp,2000000,3,200012348,21200,7542,181.093,10043.1
TSP,berlin52,data/tsp/berlin52.tsp,2000000,4,200012349,21581,7542,186.144,10041.7
TSP,berlin52,data/tsp/berlin52.tsp,2000000,5,200012350,21703,7542,187.762,10045.1
TSP,ch150,data/tsp/ch150.tsp,100,1,22346,49414,6528,656.955,1.43635
TSP,ch150,data/tsp/ch150.tsp,100,2,22347,48411,6528,641.59,1.41924
TSP,ch150,data/tsp/ch150.tsp,100,3,22348,49305,6528,655.285,1.60274
TSP,ch150,data/tsp/ch150.tsp,100,4,22349,50303,6528,670.573,1.40873
TSP,ch150,data/tsp/ch150.tsp,100,5,22350,49935,6528,664.936,1.41278
TSP,ch150,data/tsp/ch150.tsp,500,1,62346,47407,6528,626.21,7.27689
TSP,ch150,data/tsp/ch150.tsp,500,2,62347,49571,6528,659.36,7.12548
TSP,ch150,data/tsp/ch150.tsp,500,3,62348,48375,6528,641.039,7.14669
TSP,ch150,data/tsp/ch150.tsp,500,4,62349,46497,6528,612.27,7.22949
TSP,ch150,data/tsp/ch150.tsp,500,5,62350,47692,6528,630.576,7.07935
TSP,ch150,data/tsp/ch150.tsp,1000,1,112346,47995,6528,635.218,14.3316
TSP,ch150,data/tsp/ch150.tsp,1000,2,112347,47720,6528,631.005,14.4011
TSP,ch150,data/tsp/ch150.tsp,1000,3,112348,48008,6528,635.417,14.2634
TSP,ch150,data/tsp/ch150.tsp,1000,4,112349,47494,6528,627.543,14.3525
TSP,ch150,data/tsp/ch150.tsp,1000,5,112350,48141,6528,637.454,14.2648
TSP,ch150,data/tsp/ch150.tsp,2000,1,212346,47683,6528,630.438,28.3872
TSP,ch150,data/tsp/ch150.tsp,2000,2,212347,47904,6528,633.824,28.4042
TSP,ch150,data/tsp/ch150.tsp,2000,3,212348,47628,6528,629.596,28.3787
TSP,ch150,data/tsp/ch150.tsp,2000,4,212349,47117,6528,621.768,28.3706
TSP,ch150,data/tsp/ch150.tsp,2000,5,212350,46940,6528,619.056,28.3998
TSP,ch150,data/tsp/ch150.tsp,5000,1,512346,46449,6528,611.535,70.6223
TSP,ch150,data/tsp/ch150.tsp,5000,2,512347,47951,6528,634.544,70.6704
TSP,ch150,data/tsp/ch150.tsp,5000,3,512348,46909,6528,618.581,70.5251
TSP,ch150,data/tsp/ch150.tsp,5000,4,512349,46772,6528,616.483,70.4772
TSP,ch150,data/tsp/ch150.tsp,5000,5,512350,47466,6528,627.114,70.5423
TSP,ch150,data/tsp/ch150.tsp,10000,1,1012346,46935,6528,618.98,140.692
TSP,ch150,data/tsp/ch150.tsp,10000,2,1012347,46988,6528,619.792,140.609
TSP,ch150,data/tsp/ch150.tsp,10000,3,1012348,46830,6528,617.371,140.713
TSP,ch150,data/tsp/ch150.tsp,10000,4,1012349,47154,6528,622.335,140.934
TSP,ch150,data/tsp/ch150.tsp,10000,5,1012350,46269,6528,608.778,140.752
TSP,ch150,data/tsp/ch150.tsp,20000,1,2012346,46001,6528,604.672,281.597
TSP,ch150,data/tsp/ch150.tsp,20000,2,2012347,45835,6528,602.129,281.595
TSP,ch150,data/tsp/ch150.tsp,20000,3,2012348,46761,6528,616.314,281.283
TSP,ch150,data/tsp/ch150.tsp,20000,4,2012349,45903,6528,603.171,281.447
TSP,ch150,data/tsp/ch150.tsp,20000,5,2012350,45990,6528,604.504,280.992
TSP,ch150,data/tsp/ch150.tsp,50000,1,5012346,44880,6528,587.5,701.902
TSP,ch150,data/tsp/ch150.tsp,50000,2,5012347,46069,6528,605.714,702.596
TSP,ch150,data/tsp/ch150.tsp,50000,3,5012348,46055,6528,605.499,708.961
TSP,ch150,data/tsp/ch150.tsp,50000,4,5012349,46679,6528,615.058,702.284
TSP,ch150,data/tsp/ch150.tsp,50000,5,5012350,46139,6528,606.786,702.278
TSP,ch150,data/tsp/ch150.tsp,500000,1,50012346,45523,6528,597.35,7018.63
TSP,ch150,data/tsp/ch150.tsp,500000,2,50012347,44808,6528,586.397,7028.77
TSP,ch150,data/tsp/ch150.tsp,500000,3,50012348,44352,6528,579.412,7028
TSP,ch150,data/tsp/ch150.tsp,500000,4,50012349,45098,6528,590.839,7013.32
TSP,ch150,data/tsp/ch150.tsp,500000,5,50012350,45139,6528,591.468,7020.43
TSP,ch150,data/tsp/ch150.tsp,2000000,1,200012346,44981,6528,589.047,28086.2
TSP,ch150,data/tsp/ch150.tsp,2000000,2,200012347,44988,6528,589.154,28055.6
TSP,ch150,data/tsp/ch150.tsp,2000000,3,200012348,44932,6528,588.297,28063.2
TSP,ch150,data/tsp/ch150.tsp,2000000,4,200012349,44574,6528,582.812,28066.8
TSP,ch150,data/tsp/ch150.tsp,2000000,5,200012350,43228,6528,562.194,28551
TSP,eil51,data/tsp/eil51.tsp,100,1,22346,1381,426,224.178,0.495174
TSP,eil51,data/tsp/eil51.tsp,100,2,22347,1435,426,236.854,0.499031
TSP,eil51,data/tsp/eil51.tsp,100,3,22348,1441,426,238.263,0.496617
TSP,eil51,data/tsp/eil51.tsp,100,4,22349,1416,426,232.394,0.493481
TSP,eil51,data/tsp/eil51.tsp,100,5,22350,1487,426,249.061,0.639556
TSP,eil51,data/tsp/eil51.tsp,500,1,62346,1315,426,208.685,2.47591
TSP,eil51,data/tsp/eil51.tsp,500,2,62347,1359,426,219.014,2.47216
TSP,eil51,data/tsp/eil51.tsp,500,3,62348,1394,426,227.23,2.46836
TSP,eil51,data/tsp/eil51.tsp,500,4,62349,1332,426,212.676,2.48041
TSP,eil51,data/tsp/eil51.tsp,500,5,62350,1362,426,219.718,2.46441
TSP,eil51,data/tsp/eil51.tsp,1000,1,112346,1379,426,223.709,4.92279
TSP,eil51,data/tsp/eil51.tsp,1000,2,112347,1333,426,212.911,5.0065
TSP,eil51,data/tsp/eil51.tsp,1000,3,112348,1319,426,209.624,5.04771
TSP,eil51,data/tsp/eil51.tsp,1000,4,112349,1370,426,221.596,4.96012
TSP,eil51,data/tsp/eil51.tsp,1000,5,112350,1367,426,220.892,5.00664
TSP,eil51,data/tsp/eil51.tsp,2000,1,212346,1354,426,217.84,10.1512
TSP,eil51,data/tsp/eil51.tsp,2000,2,212347,1369,426,221.362,10.02
